passage_id,deal_id,document_id,source_url,supporting_excerpt,dominant_topic,dominant_weight,topic_5787d58e,topic_1a765e60,topic_0036981e
passage_d4582714563ad8fe,3939905020,supp_e28fecde52a19db4,https://www.glia.com/news/glia-acquires-finn-ai,"Hear from Glia customers based on 50+ reviews “Glia gets what we say... when we talk about improving the member and employee experiences, takes our feedback to heart, and strives to make our CX dreams a reality."" DIGITAL EXPERIENCE MANAGER, MID-MARKET Alyxandra L. “Glia provides an industry leading product suite... ...and they are super easy to work with."" VERIFIED USER IN BANKING, MID-MARKET Verified User in Banking “From the kickoff meeting to testing through go live... Glia's team provided the best project management experience."" FINANCIAL SERVICES CUSTOMER, MID-MARKET Verified User in Financial Services “Glia allows us to connect with our customers where they are. Have always had a great experience working with various Glia team members."" BANKING CUSTOMER, MID-MARKET Verified User in Banking Industries Banks Credit Unions Solutions Contact Center Reimagined Online Banking Support Virtual Branch Loan Growth Deposit Growth & Retention Payments/Collections Growth Overflow & Afterhours Support Core/OLB Conversions M&A Support IT Helpdesk Products Glia AI Glia Banker Glia CoPilot Glia Analyst Glia Voice Automate Inquiries Grow Loans & Assets Empower Your Team Unlock Insights Glia Digital AI Self-Service High-Touch Interactions Next-Gen Messaging Platform Intelligent Reporting & Insights Security & Compliance The Glia Difference Partners & Integrations Customers Services & Support Community Programs Catalyst Awards Customer Stories Resources Blog Webinars & Events Videos Industry Awards Newsroom Case Studies Company About Glia Careers Priceless PricingTM",topic_0036981e,0.9211,0.0152,0.0637,0.9211
passage_dd89ff8e103e9095,3767523020,supp_1850451931a95a19,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,Forza Cash Logistics Increases Field Worker Productivity by 20% with Zebra Technologies,topic_5787d58e,1.0,1.0,0.0,0.0
passage_e0d0eee4d84fc076,3701621020,supp_f27a205c0a017de2,https://www.globenewswire.com/news-release/2021/01/26/2164201/0/en/Algolia-Acquires-MorphL-Launches-AI-Powered-Predictive-Experiences-and-Personalization.html,"Bernadette Nixon, Chief Executive Officer, Algolia, said: “I am thrilled to welcome MorphL to the Algolia family. It’s an exciting time — brands are looking to create meaningful connections with people, and that requires understanding intent in the moment, personalized navigation, search, and recommendations or offers. Sounds easy enough, but ask most Chief Digital Officers or heads of eCommerce and it’s not.”",topic_0036981e,0.9905,0.0095,0.0,0.9905
passage_e1be5c3842829237,3984774040,supp_27bba806dccbb131,https://www.sec.gov/Archives/edgar/data/1745317/000119312522281315/d413040d425.htm,Jordan M. Darrow - Darrow Associates Inc. - Founder and CEO,topic_0036981e,1.0,0.0,0.0,1.0
passage_e3bfc3677ae905eb,3727571020,supp_f56ffb1c8870a6f6,https://www.globenewswire.com/news-release/2021/04/08/2206486/0/en/appharvest-acquires-agricultural-robotics-and-artificial-intelligence-company-root-ai-to-increase-efficiency.html,"“Farming as we’ve known it is broken because of the increasing number of variables such as extreme weather, droughts, fire and contamination by animals that make our food system unreliable. Indoor farming solves for many of those challenges, and the data gathered can exponentially deliver more insights that help us predict and control crop quality and yield,” said AppHarvest Founder & CEO Jonathan Webb. “One of the key challenges in agriculture is accurately predicting yield. Many downstream decisions from work scheduling to transportation to retail planning are based on that. Any deviation between projection and actual yield can result in fire drills for numerous functions to adjust for the change, and AI can help solve for that.”",topic_0036981e,1.0,0.0,0.0,1.0
passage_e5a65ef006ed8c96,3257183040,supp_2d6e94103484791d,https://www.prnewswire.com/news-releases/leanplum-acquires-connecto-a-conversational-marketing-company-300668664.html,Human Resource & Workforce Management,topic_1a765e60,1.0,0.0,1.0,0.0
passage_ec77b33430e0f1b4,3078525020,supp_327ff1ecfdd9a623,https://blog.google/innovation-and-ai/infrastructure-and-cloud/google-cloud/100-announcements-google-cloud-next-17/,secure productivity solutions to Verizon’s workforce,topic_1a765e60,0.5873,0.3934,0.5873,0.0193
passage_f0491f499d3f8091,3623364020,supp_483684a4076e1a42,https://365retailmarkets.com/blog/365-retail-markets-acquires-stockwell,"McCarthy Partners Management, LLC is a registered investment advisor that conducts business as McCarthy Capital. McCarthy Capital, headquartered in Omaha, NE, is focused exclusively on lower middle-market companies. For more than 30 years, the McCarthy organization has been partnering with founders, families, and exceptional management teams to support the growth of their companies. More information about McCarthy Capital can be obtained at www.mccarthycapital.com .",topic_0036981e,0.5665,0.0056,0.4279,0.5665
passage_f2d99d9d28273e6d,3939905020,supp_e28fecde52a19db4,https://www.glia.com/news/glia-acquires-finn-ai,"Catalyst Awards Honoring the trailblazers redefining customer interactions Customer Interaction Case Studies Heartland Credit Union 40% faster service, 62% lower abandonment with Glia Bank of Guam Streamlines service options, enables seamless experience Service 1st Federal Credit Union Saving 69 hours per week with Glia AI View all Case Studies",topic_0036981e,0.9755,0.0245,0.0,0.9755
passage_f3de41039e0c29fc,3727571020,supp_f56ffb1c8870a6f6,https://www.globenewswire.com/news-release/2021/04/08/2206486/0/en/appharvest-acquires-agricultural-robotics-and-artificial-intelligence-company-root-ai-to-increase-efficiency.html,"Root AI co-founder and CEO Josh Lessing will take on the role of Chief Technology Officer for AppHarvest where he will take the lead in continuing to develop the robots and their AI capabilities for the network of indoor farms that AppHarvest is building. Lessing, along with co-founder Ryan Knopf who will join AppHarvest as vice president of technology, helped establish Root AI as an early leader in employing artificial intelligence in CEA. Virgo is the world’s first universal harvester, which can be configured to identify and harvest multiple crops of varying sizes including tomatoes, peppers, cucumbers and more delicate fruits such as strawberries among others.",topic_0036981e,0.9465,0.0,0.0535,0.9465
passage_f8e0a9f868de0e8f,3767523020,supp_1850451931a95a19,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,"Keep labor costs low, your talent happy and your organization compliant. Create an agile operation that can navigate unexpected schedule changes and customer demand to drive sales, satisfy customers and improve your bottom line.",topic_0036981e,0.7805,0.2195,0.0,0.7805
passage_fbc9df1cbeb51993,3727571020,supp_f56ffb1c8870a6f6,https://www.globenewswire.com/news-release/2021/04/08/2206486/0/en/appharvest-acquires-agricultural-robotics-and-artificial-intelligence-company-root-ai-to-increase-efficiency.html,"Gathering more data through AI enables growers to use real-time information to improve a number of sustainability efforts such as detecting and eliminating pests naturally, helping indoor farms successfully grow chemical pesticide-free fruits and vegetables. AppHarvest is investing approximately $60 million, consisting of approximately $10 million in cash and the balance in AppHarvest common shares, to acquire Root AI. The Company will issue approximately 2,328,000 shares for the transaction. Founded in 2018, Root AI is based in Somerville, Mass., and has 19 full-time employees, all of whom are expected to join AppHarvest’s technology group to help advance the mission of building a resilient and sustainable food supply.",topic_0036981e,1.0,0.0,0.0,1.0
passage_fe9576f3890637fc,3767523020,supp_1850451931a95a19,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,Zebra Technologies Introduces Automation Solutions at MODEX 2024 to Empower Connected Workers,topic_5787d58e,0.9767,0.9767,0.0069,0.0165
